ffcollection,Brand,Short_descr,Final_Price,avSizes,img,Discount,Total_Price
New Season,KHAITE,The Remi Hobo shoulder bag,"$1,280",One Size,https://cdn-images.farfetch-contents.com/17/07/58/16/17075816_37388150_480.jpg,-0%,"$1,280"
,Chloé,Edith leather tote bag,"$2,150",One Size,https://cdn-images.farfetch-contents.com/16/98/80/86/16988086_36406933_480.jpg,-0%,"$2,150"
New Season,Bottega Veneta,The Chain Pouch shoulder bag,"$3,300",One Size,https://cdn-images.farfetch-contents.com/17/56/72/40/17567240_37593777_480.jpg,-0%,"$3,300"
New Season,Jil Sander,Goji logo tote bag,"$1,850",One Size,https://cdn-images.farfetch-contents.com/17/55/70/10/17557010_37575851_480.jpg,-0%,"$1,850"
New Season,Balenciaga,Gossip chain wallet,"$1,090",One Size,https://cdn-images.farfetch-contents.com/17/73/05/86/17730586_37656469_480.jpg,-0%,"$1,090"
,Givenchy,small Moon Cut Out shoulder bag,"$2,290",One Size,https://cdn-images.farfetch-contents.com/17/53/44/01/17534401_37228626_480.jpg,-0%,"$2,290"
New Season,Off-White,Burrow-22 leather shoulder bag,"$1,425",One Size,https://cdn-images.farfetch-contents.com/17/59/05/59/17590559_37721697_480.jpg,-0%,"$1,425"
,Versace,Virtus quilted leather shoulder bag,"$2,150",One Size,https://cdn-images.farfetch-contents.com/17/50/21/57/17502157_37720200_480.jpg,-0%,"$2,150"
New Season,Alexander McQueen,micro The Curve bag,"$1,090",One Size,https://cdn-images.farfetch-contents.com/17/46/41/31/17464131_37141860_480.jpg,-0%,"$1,090"
New Season,STAND STUDIO,diamond-quilted shoulder bag,$556,One Size,https://cdn-images.farfetch-contents.com/17/04/45/16/17044516_37121229_480.jpg,-0%,$556
New Season,Prada,small logo-plaque backpack,"$1,690",One Size,https://cdn-images.farfetch-contents.com/17/43/09/69/17430969_36153107_480.jpg,-0%,"$1,690"
New Season,Balenciaga,Tool 2.0 chain-link tote bag,"$1,990",One Size,https://cdn-images.farfetch-contents.com/17/33/70/77/17337077_37603191_480.jpg,-0%,"$1,990"
,Gucci,Padlock mini bag,"$2,190",One Size,https://cdn-images.farfetch-contents.com/16/90/32/24/16903224_33665949_480.jpg,-0%,"$2,190"
New Season,STAND STUDIO,diamond-quilted shoulder bag,$556,One Size,https://cdn-images.farfetch-contents.com/17/04/61/73/17046173_37124884_480.jpg,-0%,$556
,Chloé,Joyce leather tote bag,"$2,250",One Size,https://cdn-images.farfetch-contents.com/16/98/71/71/16987171_36435697_480.jpg,-0%,"$2,250"
New Season,Palm Angels,x Moncler monogram tote,$740,One Size,https://cdn-images.farfetch-contents.com/17/64/94/56/17649456_37018683_480.jpg,-0%,$740
New Season,Bottega Veneta,shearling Jodie tote bag,"$2,500",One Size,https://cdn-images.farfetch-contents.com/17/56/72/65/17567265_37627229_480.jpg,-0%,"$2,500"
New Season,STAND STUDIO,Brynnie padded mini bag,$527,One Size,https://cdn-images.farfetch-contents.com/17/04/53/13/17045313_37124387_480.jpg,-0%,$527
,Chloé,Alphabet crossbody bag,$990,One Size,https://cdn-images.farfetch-contents.com/16/98/72/12/16987212_37574555_480.jpg,-0%,$990
,Alexander Wang,medium Wangloc rhinestone-embellished clutch bag,$695,One Size,https://cdn-images.farfetch-contents.com/15/41/77/26/15417726_28607422_480.jpg,-0%,$695
,Marc Jacobs,The Tote mini bag,$175,One Size,https://cdn-images.farfetch-contents.com/16/55/50/41/16555041_32312081_480.jpg,-0%,$175
,Alexander Wang,Scrunchie mini bag,$295,One Size,https://cdn-images.farfetch-contents.com/15/41/66/02/15416602_28584236_480.jpg,-0%,$295
New Season,Emilio Pucci,mini logo-embellished basket bag,$375,One Size,https://cdn-images.farfetch-contents.com/16/99/47/92/16994792_37091355_480.jpg,-0%,$375
,Marc Jacobs,The Snapshot leather crossbody bag,$295,One Size,https://cdn-images.farfetch-contents.com/16/81/83/11/16818311_34562331_480.jpg,-0%,$295
,Chloé,small Tess shoulder bag,"$1,890",One Size,https://cdn-images.farfetch-contents.com/14/00/20/71/14002071_18581075_480.jpg,-0%,"$1,890"
,Bottega Veneta,The Mini Pouch Intrecciato bag,"$2,000",One Size,https://cdn-images.farfetch-contents.com/14/80/80/13/14808013_36029364_480.jpg,-0%,"$2,000"
,Bottega Veneta,mini Jodie tote bag,"$2,250",One Size,https://cdn-images.farfetch-contents.com/17/56/90/77/17569077_36464566_480.jpg,-0%,"$2,250"
,Valentino Garavani,Rockstud tote bag,"$1,380",One Size,https://cdn-images.farfetch-contents.com/15/67/51/43/15675143_28383760_480.jpg,-0%,"$1,380"
New Season,Dolce & Gabbana,small Devotion top-handle bag,"$1,595",One Size,https://cdn-images.farfetch-contents.com/17/58/96/78/17589678_37414151_480.jpg,-0%,"$1,595"
New Season,Alexander Wang,mini Cruiser duffle bag,$750,One Size,https://cdn-images.farfetch-contents.com/16/85/13/90/16851390_33447460_480.jpg,-0%,$750
,Versace,La Medusa top-handle tote,"$1,875",One Size,https://cdn-images.farfetch-contents.com/16/28/91/41/16289141_31503435_480.jpg,-0%,"$1,875"
,Fendi,mini Mon Tresor tote,"$1,950",One Size,https://cdn-images.farfetch-contents.com/15/51/03/39/15510339_27845399_480.jpg,-0%,"$1,950"
New Season,Marc Jacobs,The Jacquard Mini Tote bag,$275,One Size,https://cdn-images.farfetch-contents.com/17/79/72/90/17797290_37431082_480.jpg,-0%,$275
New Season,Balmain,B-Army 18 camera bag,$995,One Size,https://cdn-images.farfetch-contents.com/17/23/86/86/17238686_35879389_480.jpg,-0%,$995
,Valentino Garavani,small Roman stud leather bag,"$3,150",One Size,https://cdn-images.farfetch-contents.com/16/46/16/32/16461632_32356196_480.jpg,-0%,"$3,150"
,Bottega Veneta,The Pouch leather mini pouch bag,"$2,000",One Size,https://cdn-images.farfetch-contents.com/16/98/72/08/16987208_37010537_480.jpg,-0%,"$2,000"
New Season,Dolce & Gabbana,logo-plaque crossbody bag,"$1,245",One Size,https://cdn-images.farfetch-contents.com/17/40/68/15/17406815_36819476_480.jpg,-0%,"$1,245"
,Balmain,1945 Heritage monogram jacquard tote bag,"$3,900",One Size,https://cdn-images.farfetch-contents.com/15/78/47/09/15784709_32523966_480.jpg,-0%,"$3,900"
New Season,KHAITE,The Remi Hobo shoulder bag,"$1,400",One Size,https://cdn-images.farfetch-contents.com/17/07/48/98/17074898_37467590_480.jpg,-0%,"$1,400"
,Chloé,small Kiss crossbody bag,"$1,490",One Size,https://cdn-images.farfetch-contents.com/16/63/81/09/16638109_32514320_480.jpg,-0%,"$1,490"
,Bottega Veneta,The Mini Pouch crossbody bag,"$1,850",One Size,https://cdn-images.farfetch-contents.com/16/25/09/40/16250940_31032854_480.jpg,-0%,"$1,850"
,Chloé,Kiss leather shoulder bag,"$1,750",One Size,https://cdn-images.farfetch-contents.com/16/85/76/67/16857667_36051360_480.jpg,-0%,"$1,750"
New Season,Isabel Marant,Botsy crossbody bag,$485,One Size,https://cdn-images.farfetch-contents.com/17/39/34/42/17393442_37843936_480.jpg,-0%,$485
,Marc Jacobs,The Snapshot camera bag,$325,One Size,https://cdn-images.farfetch-contents.com/13/73/79/36/13737936_21979316_480.jpg,-0%,$325
New Season,Lemaire,small Croissant crossbody bag,"$1,205",One Size,https://cdn-images.farfetch-contents.com/17/58/84/92/17588492_37554187_480.jpg,-0%,"$1,205"
New Season,Rosantica,Holli Petalo pearl-embellished mini bag,"$1,500",One Size,https://cdn-images.farfetch-contents.com/17/61/79/99/17617999_37568202_480.jpg,-0%,"$1,500"
,Tory Burch,logo embossed quilted shoulder bag,$415,One Size,https://cdn-images.farfetch-contents.com/16/22/44/63/16224463_30992747_480.jpg,-0%,$415
,BY FAR,Amber leather shoulder bag,$505,One Size,https://cdn-images.farfetch-contents.com/14/67/54/24/14675424_37517834_480.jpg,-0%,$505
,Marc Jacobs,x Peanuts The Snapshot camera bag,$350,One Size,https://cdn-images.farfetch-contents.com/17/10/70/53/17107053_34653350_480.jpg,-0%,$350
,MM6 Maison Margiela,Japanese vegan leather tote bag,$295,One Size,https://cdn-images.farfetch-contents.com/17/15/78/47/17157847_37920642_480.jpg,-0%,$295
,Chloé,medium Woody tote bag,"$1,050",One Size,https://cdn-images.farfetch-contents.com/16/26/33/69/16263369_33900876_480.jpg,-0%,"$1,050"
New Season,TOM FORD,logo plaque minibag,"$1,190",One Size,https://cdn-images.farfetch-contents.com/17/39/18/04/17391804_37362470_480.jpg,-0%,"$1,190"
,Bottega Veneta,quilted square shoulder bag,"$3,500",One Size,https://cdn-images.farfetch-contents.com/14/18/50/32/14185032_30738938_480.jpg,-0%,"$3,500"
,Tory Burch,small Perry tote bag,$245,One Size,https://cdn-images.farfetch-contents.com/16/82/89/56/16828956_33375207_480.jpg,-0%,$245
New Season,STAUD,micro Moon raffia tote,$235,One Size,https://cdn-images.farfetch-contents.com/17/74/29/45/17742945_37912405_480.jpg,-0%,$235
Positively Conscious,Stella McCartney,large Falabella shoulder bag,"$1,130",One Size,https://cdn-images.farfetch-contents.com/15/58/61/91/15586191_28262598_480.jpg,-0%,"$1,130"
