,ffcollection,Brand,Short_descr,Price,avSizes,img
64,New Season,Gucci,Horsebit merino ankle boots,$930,See all sizes,https://cdn-images.farfetch-contents.com/17/43/62/54/17436254_36133292_480.jpg
65,New Season,Balenciaga,colour-block panelled trainers,"$1,150",See all sizes,https://cdn-images.farfetch-contents.com/17/33/66/71/17336671_36841135_480.jpg
66,New Season,Off-White,Odsy 1000 sneakers,$850,See all sizes,https://cdn-images.farfetch-contents.com/17/59/04/58/17590458_36866272_480.jpg
67,New Season,Versace,Greca 150mm cage sandals,"$1,275",See all sizes,https://cdn-images.farfetch-contents.com/17/33/39/05/17333905_37702623_480.jpg
68,Positively Conscious,Stella McCartney,Reclypse recycled-polyester sneakers,$540,See all sizes,https://cdn-images.farfetch-contents.com/17/45/46/36/17454636_36191682_480.jpg
69,,Versace,Juno platform pumps,"$1,425",See all sizes,https://cdn-images.farfetch-contents.com/16/81/72/98/16817298_35446189_480.jpg
70,New Season,Valentino Garavani,Roman Stud caged pumps,"$1,150",See all sizes,https://cdn-images.farfetch-contents.com/17/78/36/99/17783699_37912411_480.jpg
71,New Season,Balenciaga,Phantom low-top sneakers ,$795,See all sizes,https://cdn-images.farfetch-contents.com/17/69/44/80/17694480_37154484_480.jpg
72,New Season,Gucci,Double G sandals,$490,See all sizes,https://cdn-images.farfetch-contents.com/18/02/33/45/18023345_38163778_480.jpg
73,New Season,Alexander Wang,logo-print ankle boots,"$1,170",See all sizes,https://cdn-images.farfetch-contents.com/17/88/98/97/17889897_37928552_480.jpg
74,Pre-Order,JW Anderson,jacquard-logo chain loafers ,$640,See all sizes,https://cdn-images.farfetch-contents.com/17/73/56/19/17735619_37291212_480.jpg
75,New Season,Ancient Greek Sandals,Classic Closed 50mm studded clogs,$513,See all sizes,https://cdn-images.farfetch-contents.com/17/45/53/05/17455305_37580029_480.jpg
76,New Season,Philipp Plein,colour-block low-top trainers,$535,See all sizes,https://cdn-images.farfetch-contents.com/17/35/39/33/17353933_36393929_480.jpg
77,New Season,TOM FORD,65mm slingback leather pumps,"$1,100",See all sizes,https://cdn-images.farfetch-contents.com/17/17/51/44/17175144_37725277_480.jpg
78,New Season,Gucci,Double G sandals,$490,See all sizes,https://cdn-images.farfetch-contents.com/18/02/26/09/18022609_38166247_480.jpg
79,New Season,Cult Gaia,Leah raffia clogs,$481,See all sizes,https://cdn-images.farfetch-contents.com/17/86/56/08/17865608_37917858_480.jpg
80,New Season,Paris Texas,Penelope 95mm crystal-embellished sandals,$545,See all sizes,https://cdn-images.farfetch-contents.com/17/10/12/73/17101273_35034298_480.jpg
81,New Season,Lemaire,LEMAIRE XX LTHR SUE TOE ANKLE BOOT,"$1,070",See all sizes,https://cdn-images.farfetch-contents.com/17/17/29/85/17172985_37796377_480.jpg
82,New Season,Gucci,Horsebit-detail ankle boots,"$1,270",See all sizes,https://cdn-images.farfetch-contents.com/17/35/03/94/17350394_35809956_480.jpg
83,New Season,NAKED WOLFE,Jailbreaker 140mm platform ankle boots,$300,See all sizes,https://cdn-images.farfetch-contents.com/17/75/73/73/17757373_37611251_480.jpg
84,,Amina Muaddi,Rosie clear pointed toe pumps,"$2,199",See all sizes,https://cdn-images.farfetch-contents.com/17/70/62/06/17706206_37063251_480.jpg
85,New Season,Aquazzura,Gatsby Mule 75mm sandals,"$1,150",See all sizes,https://cdn-images.farfetch-contents.com/17/29/85/98/17298598_37674607_480.jpg
86,New Season,Gucci,GG Supreme platform espadrilles,$590,See all sizes,https://cdn-images.farfetch-contents.com/18/02/25/71/18022571_38159464_480.jpg
87,Pre-Order,JW Anderson,chain leather sandals ,$750,See all sizes,https://cdn-images.farfetch-contents.com/17/73/64/90/17736490_37291479_480.jpg
88,New Season,Off-White,extra padded bow slides,$930,See all sizes,https://cdn-images.farfetch-contents.com/17/59/04/82/17590482_37174119_480.jpg
89,New Season,Maison Margiela,elasticated-panel ankle boots,"$1,120",See all sizes,https://cdn-images.farfetch-contents.com/17/15/79/28/17157928_37868160_480.jpg
90,New Season,Chloé,Jessie ankle boots,$850,See all sizes,https://cdn-images.farfetch-contents.com/17/36/71/85/17367185_37844043_480.jpg
91,New Season,Off-White,Off-Court 3.0 sneakers,$705,See all sizes,https://cdn-images.farfetch-contents.com/17/59/04/48/17590448_36866339_480.jpg
92,,Bottega Veneta,Storm zebra print boots,"$3,200",See all sizes,https://cdn-images.farfetch-contents.com/16/82/54/15/16825415_37684134_480.jpg
