ffcollection,Brand,Short_descr,Final_Price,avSizes,img,Discount,Total_Price
Exclusive,Louis Vuitton,x Stephen Sprouse 2001 pre-owned Alma bag,"$3,658",One Size,https://cdn-images.farfetch-contents.com/17/55/38/23/17553823_36987755_480.jpg,-0%,"$3,658"
,Chanel Pre-Owned,1993 CC tweed sequinned handbag,"$36,373",One Size,https://cdn-images.farfetch-contents.com/17/30/06/54/17300654_35859535_480.jpg,-0%,"$36,373"
,Chanel Pre-Owned,1992 Mademoiselle shoulder bag,"$8,947",One Size,https://cdn-images.farfetch-contents.com/17/29/52/30/17295230_35860636_480.jpg,-0%,"$8,947"
,Hermès,pre-owned Birkin 35 handbag,"$28,964",One Size,https://cdn-images.farfetch-contents.com/17/56/03/04/17560304_36544780_480.jpg,-0%,"$28,964"
,Chanel Pre-Owned,1997 Interlocking CC wallet bag,"$6,772",One Size,https://cdn-images.farfetch-contents.com/17/50/32/10/17503210_36521765_480.jpg,-0%,"$6,772"
,Louis Vuitton,pre-owned x Comme Des Garçons burned holes monogram tote,"$15,549",One Size,https://cdn-images.farfetch-contents.com/14/32/36/24/14323624_20642088_480.jpg,-0%,"$15,549"
,Louis Vuitton,2001 pre-owned Graffiti monogram Pochette Accessoires handbag,"$2,840",One Size,https://cdn-images.farfetch-contents.com/17/33/20/31/17332031_35996226_480.jpg,-0%,"$2,840"
,Louis Vuitton,2001 pre-owned Vavin PM tote bag,"$3,624",One Size,https://cdn-images.farfetch-contents.com/16/07/39/86/16073986_30357743_480.jpg,-0%,"$3,624"
,Chanel Pre-Owned,1997 Both Side Flap Jumbo shoulder bag,"$8,131",One Size,https://cdn-images.farfetch-contents.com/17/00/54/11/17005411_34208707_480.jpg,-0%,"$8,131"
,Christian Dior,1997 pre-owned Cannage Lady Dior bag,"$5,209",One Size,https://cdn-images.farfetch-contents.com/16/88/74/22/16887422_33731109_480.jpg,-0%,"$5,209"
,Chanel Pre-Owned,1990 Double Flap shoulder bag,"$7,452",One Size,https://cdn-images.farfetch-contents.com/16/41/72/28/16417228_31847115_480.jpg,-0%,"$7,452"
,Louis Vuitton,2017 pre-owned x Suprem logo hoodie,"$13,408",M,https://cdn-images.farfetch-contents.com/14/94/04/21/14940421_24954768_480.jpg,-0%,"$13,408"
,Hermès,2011 pre-owned Kelly 20 bag,"$98,000",One Size,https://cdn-images.farfetch-contents.com/15/80/55/57/15805557_30925961_480.jpg,-0%,"$98,000"
,Chanel Pre-Owned,1994 CC dangling clip-on earrings,"$3,266",One Size,https://cdn-images.farfetch-contents.com/17/73/41/82/17734182_37332107_480.jpg,-0%,"$3,266"
,Christian Dior,2000s pre-owned Cannage Lady Dior bag,"$5,209",One Size,https://cdn-images.farfetch-contents.com/16/65/82/23/16658223_32788874_480.jpg,-0%,"$5,209"
,Chanel Pre-Owned,1992 medium Double Flap shoulder bag,"$7,452",One Size,https://cdn-images.farfetch-contents.com/16/62/81/43/16628143_32588211_480.jpg,-0%,"$7,452"
,Louis Vuitton,pre-owned Louis Vuitton Doudou 2005 teddy bear,"$21,530",One Size,https://cdn-images.farfetch-contents.com/13/24/54/39/13245439_14765051_480.jpg,-0%,"$21,530"
,Chanel Pre-Owned,1993 logo-lettering chain belt,"$5,790",One Size,https://cdn-images.farfetch-contents.com/16/95/48/78/16954878_33967095_480.jpg,-0%,"$5,790"
,Christian Dior,2020 pre-owned abstract-print Saddle shoulder bag,"$6,796",One Size,https://cdn-images.farfetch-contents.com/16/17/55/98/16175598_31275419_480.jpg,-0%,"$6,796"
,Hermès,pre-owned Himalaya Birkin 30 bag,"$242,550",One Size,https://cdn-images.farfetch-contents.com/17/28/93/77/17289377_35681576_480.jpg,-0%,"$242,550"
,Louis Vuitton,2009 pre-owned Graffiti monogram Neverfull GM tote bag,"$5,685",One Size,https://cdn-images.farfetch-contents.com/17/41/12/22/17411222_36346874_480.jpg,-0%,"$5,685"
,Fendi Pre-Owned,1990s raffia tote bag,"$2,400",One Size,https://cdn-images.farfetch-contents.com/15/53/42/91/15534291_27943103_480.jpg,-0%,"$2,400"
,Chanel Pre-Owned,1994 embroidered logo T-shirt,"$3,290",S,https://cdn-images.farfetch-contents.com/17/47/27/22/17472722_36724161_480.jpg,-0%,"$3,290"
,Louis Vuitton,1999 pre-owned Pour Veue Clicquot Petanque bottle case,"$2,341",One Size,https://cdn-images.farfetch-contents.com/16/88/72/34/16887234_33684011_480.jpg,-0%,"$2,341"
,Chanel Pre-Owned,1990s CC buttons cardigan,"$3,273",One Size,https://cdn-images.farfetch-contents.com/16/66/95/50/16669550_32847847_480.jpg,-0%,"$3,273"
,Chanel Pre-Owned,1990s mini diamond quilted crossbody bag,"$6,093",One Size,https://cdn-images.farfetch-contents.com/16/04/35/63/16043563_30076056_480.jpg,-0%,"$6,093"
,Chanel Pre-Owned,1990s CC-button single-breasted coat,"$2,338",XS,https://cdn-images.farfetch-contents.com/17/63/74/68/17637468_37085334_480.jpg,-0%,"$2,338"
,Chanel Pre-Owned,1990s CC diamond-quilted shoulder bag,"$6,229",One Size,https://cdn-images.farfetch-contents.com/16/29/55/13/16295513_31318606_480.jpg,-0%,"$6,229"
,Chanel Pre-Owned,2003 CC diamond-quilted top-handle bag,"$6,229",One Size,https://cdn-images.farfetch-contents.com/16/65/66/15/16656615_32790423_480.jpg,-0%,"$6,229"
,Yves Saint Laurent Pre-Owned,Kate shoulder bag,"$2,129",One Size,https://cdn-images.farfetch-contents.com/17/47/58/52/17475852_36292601_480.jpg,-0%,"$2,129"
,Chanel Pre-Owned,1994 medium Diana shoulder bag,"$9,490",One Size,https://cdn-images.farfetch-contents.com/16/41/80/43/16418043_31846873_480.jpg,-0%,"$9,490"
,Chanel Pre-Owned,1985-1993 cashmere midi coat,"$4,218",S,https://cdn-images.farfetch-contents.com/13/07/61/54/13076154_14082143_480.jpg,-0%,"$4,218"
,Louis Vuitton,2005 pre-owned Pleaty handbag,"$4,253",One Size,https://cdn-images.farfetch-contents.com/15/70/34/99/15703499_28712083_480.jpg,-0%,"$4,253"
,Hermès,2015 pre-owned Picotin Lock PM handbag,"$8,539",One Size,https://cdn-images.farfetch-contents.com/17/20/50/73/17205073_35061768_480.jpg,-0%,"$8,539"
,Chanel Pre-Owned,1996 CC stand-up collar top,"$2,503",L,https://cdn-images.farfetch-contents.com/16/71/42/34/16714234_33104601_480.jpg,-0%,"$2,503"
,Chanel Pre-Owned,1997 abstract-print dress,"$2,914",M,https://cdn-images.farfetch-contents.com/16/99/86/34/16998634_34185937_480.jpg,-0%,"$2,914"
,Chanel Pre-Owned,cable knit V-neck jumper,"$2,175",S,https://cdn-images.farfetch-contents.com/13/98/34/61/13983461_18147198_480.jpg,-0%,"$2,175"
,Goyard,Scrooge McDuck cardholder,"$2,296",One Size,https://cdn-images.farfetch-contents.com/16/01/01/17/16010117_29879477_480.jpg,-0%,"$2,296"
,Chanel Pre-Owned,1996 double-breasted jacket,"$2,841",M,https://cdn-images.farfetch-contents.com/15/48/22/34/15482234_27646346_480.jpg,-0%,"$2,841"
Positively Conscious,Louis Vuitton,1998 pre-owned monogram soccer ball,"$4,653",One Size,https://cdn-images.farfetch-contents.com/12/68/14/87/12681487_12505657_480.jpg,-0%,"$4,653"
,Chanel Pre-Owned,2004-2005 medium Double Flap shoulder bag,"$13,318",One Size,https://cdn-images.farfetch-contents.com/16/42/29/13/16422913_32520188_480.jpg,-0%,"$13,318"
,Chanel Pre-Owned,1980s tartan check double-breasted jacket,"$2,438",M,https://cdn-images.farfetch-contents.com/15/92/68/42/15926842_29504265_480.jpg,-0%,"$2,438"
,Chanel Pre-Owned,1997 limited edition mini Paris Classic Flap Square shoulder bag,"$7,452",One Size,https://cdn-images.farfetch-contents.com/17/00/54/10/17005410_34208704_480.jpg,-0%,"$7,452"
,Chanel Pre-Owned,1992 small Classic Flap shoulder bag,"$5,413",One Size,https://cdn-images.farfetch-contents.com/17/68/01/09/17680109_37104458_480.jpg,-0%,"$5,413"
,Chanel Pre-Owned,medium Double Flap shoulder bag,"$8,782",One Size,https://cdn-images.farfetch-contents.com/17/80/40/01/17804001_37469326_480.jpg,-0%,"$8,782"
,Chanel Pre-Owned,2003 mini Classic Flap shoulder bag,"$21,177",One Size,https://cdn-images.farfetch-contents.com/16/82/87/37/16828737_33473660_480.jpg,-0%,"$21,177"
,Louis Vuitton,x Comme Des Garçons 2014 pre-owned Halls tote bag,"$15,549",One Size,https://cdn-images.farfetch-contents.com/15/38/95/87/15389587_27184287_480.jpg,-0%,"$15,549"
,Fendi Pre-Owned,1990s boxed Zucca tote bag,"$2,352",One Size,https://cdn-images.farfetch-contents.com/16/45/63/93/16456393_32278189_480.jpg,-0%,"$2,352"
,Louis Vuitton,x Takashi Murakami 2008 pre-owned nano Speedy bag,"$6,377",One Size,https://cdn-images.farfetch-contents.com/16/63/64/00/16636400_32900544_480.jpg,-0%,"$6,377"
,Louis Vuitton,1993 pre-owned mini monogram Speedy two-way bag,"$3,158",One Size,https://cdn-images.farfetch-contents.com/17/25/50/81/17255081_35606784_480.jpg,-0%,"$3,158"
,Louis Vuitton,2009 pre-owned Petit Panda plush doll,"$57,881",One Size,https://cdn-images.farfetch-contents.com/14/18/96/89/14189689_19121273_480.jpg,-0%,"$57,881"
,Hermès,2000s pre-owned limited edition Kelly Doll mini bag,"$67,677",One Size,https://cdn-images.farfetch-contents.com/17/56/62/64/17566264_36800486_480.jpg,-0%,"$67,677"
,Rolex,2020 pre-owned Datejust 26mm,"$22,527",One Size,https://cdn-images.farfetch-contents.com/16/10/57/50/16105750_30906720_480.jpg,-0%,"$22,527"
,Chanel Pre-Owned,1992-1994 medium Diana shoulder bag,"$10,263",One Size,https://cdn-images.farfetch-contents.com/17/16/47/83/17164783_35657820_480.jpg,-0%,"$10,263"
,Chanel Pre-Owned,1997 mini diamond quilted crossbody bag,"$8,568",One Size,https://cdn-images.farfetch-contents.com/16/89/86/51/16898651_34385222_480.jpg,-0%,"$8,568"
,Chanel Pre-Owned,2006 tweed CC logo shoulder bag,"$7,256",One Size,https://cdn-images.farfetch-contents.com/17/18/78/15/17187815_34924849_480.jpg,-0%,"$7,256"
