ffcollection,Brand,Short_descr,Final_Price,avSizes,img,Discount,Total_Price
New Season,Casablanca,diamond-print silk scarf,$238,One Size,https://cdn-images.farfetch-contents.com/17/65/14/40/17651440_37457778_480.jpg,-0%,$238
New Season,Givenchy,logo-embroidered wool beanie,$450,One Size,https://cdn-images.farfetch-contents.com/17/72/99/84/17729984_37215433_480.jpg,-0%,$450
New Season,Maison Margiela,croco-embossed chain wallet,$754,One Size,https://cdn-images.farfetch-contents.com/17/50/69/42/17506942_37713721_480.jpg,-0%,$754
New Season,Jil Sander,logo patch quilted scarf,$560,See all sizes,https://cdn-images.farfetch-contents.com/17/58/72/22/17587222_37362221_480.jpg,-0%,$560
New Season,Versace,La Greca-print frayed scarf,$766,One Size,https://cdn-images.farfetch-contents.com/17/54/77/57/17547757_37354271_480.jpg,-0%,$766
New Season,ZIMMERMANN,striped sun hat ,$316,S,https://cdn-images.farfetch-contents.com/17/83/19/73/17831973_37661658_480.jpg,-0%,$316
New Season,Givenchy,logo-monogram silk scarf,$600,One Size,https://cdn-images.farfetch-contents.com/17/72/99/75/17729975_37307107_480.jpg,-0%,$600
New Season,Nina Ricci,straw bucket hat,$265,One Size,https://cdn-images.farfetch-contents.com/17/56/79/33/17567933_36525625_480.jpg,-0%,$265
,Ruslan Baginskiy,beaded detail cotton cap,$245,"XS, S, M, L",https://cdn-images.farfetch-contents.com/15/71/25/75/15712575_31182786_480.jpg,-0%,$245
,Fendi,FF motif headband,$490,One Size,https://cdn-images.farfetch-contents.com/14/04/54/83/14045483_18547075_480.jpg,-0%,$490
,Isabel Marant,Lecce leather belt,$135,"S, M, L",https://cdn-images.farfetch-contents.com/15/11/27/47/15112747_35960337_480.jpg,-0%,$135
New Season,Ruslan Baginskiy,embroidered-logo straw baker boy cap,$300,"XS, S, M, L",https://cdn-images.farfetch-contents.com/17/26/99/32/17269932_38124513_480.jpg,-0%,$300
,Isabel Marant,looped belt,$160,"S, M, L, XL",https://cdn-images.farfetch-contents.com/13/52/11/57/13521157_15971672_480.jpg,-0%,$160
New Season,Balmain,logo-embroidered cotton cap,$350,One Size,https://cdn-images.farfetch-contents.com/17/23/86/48/17238648_35051364_480.jpg,-0%,$350
,Alexander McQueen,double-strap leather belt,$920,"XS, S, M, L",https://cdn-images.farfetch-contents.com/16/74/27/82/16742782_36057906_480.jpg,-0%,$920
,Valentino Garavani,VLOGO buckle leather belt,$590,"XS, S, M",https://cdn-images.farfetch-contents.com/16/11/91/96/16119196_30879779_480.jpg,-0%,$590
Positively Conscious,Marine Serre,Crescent Moon elbow-length gloves,$260,One Size,https://cdn-images.farfetch-contents.com/15/71/25/84/15712584_33149544_480.jpg,-0%,$260
New Season,Ruslan Baginskiy,Gambler chain strap sun hat,$360,"XS, S, M, L",https://cdn-images.farfetch-contents.com/17/27/12/38/17271238_37266347_480.jpg,-0%,$360
